users,text,quote,topic,times
 Мариса," Зарплата. Даже любимая работа станет ненавистной, если за нее будешь получать копейки",, Job, 12 авг 2016
 Азалия," Все очень индивидуально, для кого-то важна финансовая состоятельность, для кого-то не настолько, чтобы работать на нелюбимой работе.",, Job, 23 авг 2016
 posomy," Перспективная работа с маленькой зарплатой) потому что можно вырасти и профессионально развиться, а потом найти более высокооплачиваемую работу. А вообще комбинированный вариант найти не пробовали?",, Job, 6 сен 2016
 FoiOll," Хочется чтобы все это было в ""дуэте"". Но жаль. что не всегда получается. Чтобы это действительно было, нужно открывать свое дело и всей душой болеть за него. Вот тогда это будет финансовое и моральное удовольствие.",, Job, 7 сен 2016
 Ali9," Я бы выбрала зарплату, как говорится куй железо, пока горячо))",, Job, 7 сен 2016
 posomy," Автор, поищите все-таки работу, которая во всех аспектах вас будет устраивать. Загляните и на мелкие сайты для интереса, а лучше все-таки на крупные сайты с большими базами вакансийнаверняка что-то хорошее для себя найдете.",, Job, 13 сен 2016
 Sgiy," Высокая зарплата. На такой работе можно скопить денег на свое дело, получить стаж и опыт работы и обзавестись нужными знакомствами.",, Job, 14 сен 2016
 Augusi, если перспективная и по душе то однозначно ее),, Job, 14 сен 2016
 Oleik," я поняла, что для меня важнее интерес к работе, чем высокий уровень зп.",, Job, 20 сен 2016
 seio-oov," Работу по душе конечно. Во-первых всех денег не заработаешь! А во-вторых работа, которая нравиться и приносит удовлетворение, рано или поздно начнет приносить хороший доход. А может и получиться самостоятельно реализоваться самостоятельно в бизнесе.",, Job, 20 сен 2016
 Ley," а мне кажется, должно что-то среднее быть.",, Job, 16 ноя 2016
 Конфетк@," Я бы в любом случае выбрала первый вариант, потому что любую работу можно полюбить, если ее достойно оплачивают"," Если бы перед вами стоял выбор: высокая зарплата, но работа вам не очень нравится, там некуда расти, условия не совсем хорошие, либо перспективная работа, но с маленькой зарплатой. Что бы вы выбрали?", Job, 16 ноя 2016
 Гость cmomile, самый идеальный вариант когда любимая работа приносит высокий доход. Но не у всех так((( вот моему мужу очень строительство нравилось и создание проектов,, Job, 6 янв 2017
 ksu, повезло вашему мужу,, Job, 6 янв 2017
 ush," согласна. когда труд достойно оплачивается, мне кажется любая работа может стать любимой)"," Я бы в любом случае выбрала первый вариант, потому что любую работу можно полюбить, если ее достойно оплачивают", Job, 6 янв 2017
 Девчуля," Заниматься любимым делом-самое главное!Это я поняла, когда начала работать на себя.",, Job, 26 янв 2017
 Mshek," Согласна. Тоже когда начала заниматься своим делом, стало мне намного комфортнее. Конечно забот немало, в бухгалтерии ничего не смыслю, но меня это не пугает.",, Job, 27 янв 2017
 Xuos, з/пл.. а вот когда станете не зависимы - тогда ростите себе на минимальной з/пл но для души.Или совмещайте полезное с приятным - на двух работах.,, Job, 27 янв 2017
 Augusi, если есть интерес но копейки платят то и интерес пропадет. мотивация должна быть),, Job, 8 окт 2017
 Галина7," Перспективы это конечно хорошо, но кушать хочется каждый день)) Я полгода работаю хостес и ничего страшного не вижу, работа не пыльная, оплачиваемая. Я еще студентка пока учусь, конечно специальность нужна как ни крути, но будешь ли потом по ней работать это не факт. У нас Бар Зависть в центре города, добираюсь по прямой ветке, быстро, рядом с метро. График гибкий, главное не косячить и не опаздывать и тогда еще и заработать не плохо получится))",, Job, 10 ноя 2017
 Augusi, ну и здоровски главное чтоб вам нравилось и было комфортно),, Job, 11 ноя 2017
Оригами,"Я бы выбрала любимое дело. Потому, что с высокооплачиваемой но нелюбимой работы рано или поздно сбежишь - проверено на себе. Затошнит от нее когда-нибудь. А любимое дело оно и есть любимое дело, чтоб не надоедать.",,Job,22 мар 2018
 lisfev," Вот я так и сделала: сбежала с работы на которой получала 52-55 тысяч рублей. Сейчас работаю на себя и мой месячный доход не ниже 35 тысяч рублей, но и не выше 4 тысяч. И знаете что? Вполне довольна.Работаю на АскЮзерс респондентом, на базах фриланса копирайтом и есть знакомые, которые регулярно кидают работу, да столько, что пришлось брать себе двух помощниц. Может так постепенно и предпосылки для своего дела появятся.",, Job, 18 май 2018
 Ференика, Думаю лучше найти золотую середину) в идеале работа должна приносить тебе моральное удовлетворение и приносить хороший доход.,, Job, 26 июн 2018
 Ольга 77," В идеальном варианте,конечно, и любимая работа и достойная зарплата. Все зависит от финансовой ситуации, в которой вы находитесь. Если вам крайне необходимо с кем-то расплатиться или закрыть кредит, то высокая зарплата. А если это неважно-то любимая работа. Но выбор всегда за вами.",, Job, 26 июн 2018
 Toko," Мой жизненный опыт: если долго заниматься нелюбимой работой, заставляя себя и заглушая протесты тела и разума обещаниями типа - вот как только выпадет шанс (решу материальные проблемы, появится помощь, муж получит повышение, ребенок подрастет и т.д.) все может закончиться очень грустно - в моем случае это была тяжелая болезнь, благодаря которой я свернула бизнес, который ненавидела, но продолжала заниматься, так как "" я же не могу все сейчас бросить, а на что мы будем жить?!"" Два месяца адской боли и постельного режима - и никто не умер от голода (кроме бывшего бизнеса). Зато теперь я занимаюсь тем, что люблю, и нашла способ получать за это достойную зарплату. ) И здоровье - тьфу-тьфу-тьфу",, Job, 12 июл 2018
 DeisovAled, Можно заниматься нелюбимой работой и в то же время что-то подыскивать.,, Job, 14 ноя 2018
 Heicuss, Поддержу эту мысль,, Job, 24 янв 2019
Wes,"Девочки, готовы ли вы, ради достижения высокого положения на работе, идти ""по головам"", изменить своим принципам, предать или подставить коллег? Но, в итоге, вы получаете престижную руководящую должность? Или, отношение и мнение общества и коллег для вас не менее важно, чем работа?",,Job,4 фев 2016
 Крошка," Неа, у меня характер добрый, я всем помогаю, даже в ущерб себе. Но, будь я другая, я бы именно так и поступала. Так как, только так, можно чего то добиться. А добряки и порядочные, сидят на ""лавочке запасных""",, Job, 4 фев 2016
 Дарьяна, Смотря какие коллеги.,, Job, 7 фев 2016
 VioleY," нет не готова. но готова становиться лучше. учусь чтобы стать лучше и более востребованной. английский уже начала учить с помощью фильмов и сериалов на английскомпонимаю, что это не много, но лучше чем ничего + развивает. хочу знать в совершенстве англ и найти достойную работу давайте учиться вместе!)",, Job, 16 май 2016
 Зазноба, Наверное я могу пойти по головам по принципу открытой конкуренции. То есть уступать место просто так не буду. Но подставлять обманным путем не буду ибо верю в бумеранг.,, Job, 16 май 2016
 Sklyk," Для меня важно хорошее отношение в коллективе. Я понимаю,когда строят карьеру, добиваясь повышениям своим упорным трудом и умом. Но когда делают козни, чтобы подставить кого-то и занять его место, для меня это дикость. Я бы так не смогла, и других таких людей не уважаю.",, Job, 14 июн 2016
 Тараканчик, Семью только не забудьте построить в погоне за карьерой..,, Job, 14 июн 2016
 VioleY," да обычно перемены начинаются тогда, когда понимаешь что больше не в силах терпеть коллектив или работу)",, Job, 14 июн 2016
 VioleY," думали, а какую нишу лучше выбрать то?",, Job, 2 авг 2016
 Alej, я еще с таким не сталкивалась но думаю что нет,, Job, 7 авг 2016
 Gell, Я одна не люблю работать в женском коллективе?,, Job, 2 фев 2017
 lis1, Я свою свой салон красоты строила Мне былотяжело быстро встать на ноги. Приходилосьискать все доступные варианты развития. Обратились в ЦПП по совету знакомых.Через неделю заключили комплексный договор сотрудничества и первые контракты на исполнение.Изменено 7 янв 219 пользователем Сергей Владимировичссылки запрещены,, Job, 7 янв 2019ttttttt(изменено)ttttttttttt
 Aleys," Надо будет попробовать, благодарю",, Job, 19 янв 2019
 Heicuss, Всё никак руки до этого не дойдут,, Job, 24 янв 2019
Элинка,"Я молодая, красивая девушка 23 года, в этом году только закончила универ.Уже несколько раз при прохождении собеседования при приеме на работу получала от начальников-мужчин условие: делать им минет в обеденный перерыв. Стажа пока нет, а работать хочу по специальности - экономистом, но нигде не берут. А где готовы взять выдвигают такое негласное условие.Такое ощущение, что они ищут себе сосалку, а не сотрудника. Не знаю как быть. Хочется работать по специальности и получать нормальную зарплату. Неужели действительно все решается через постель?",,Job,21 окт 2018
Kmel,"Согласны, что нам каждый день приходится в современном мире бороться за место в нем?!",,Job,11 апр 2016
 Лиля," В современном мире жить не легко. Но кто говорил, что раньше жить было лучше? Сколько войн было у нас и сколько идет в других странах. Тяжело это сознавать.",, Job, 4 май 2016
 Любимка," А у меня на работе только ситуация, что каждый день как на войне. Каждый сам за себя и каждый пытается друг друга подставить. Вот это реально жесть. Увы!!!(((",, Job, 15 май 2016
 Стервочка)," У моей сестры каждый день как на войне. У нее четверо детей и с ними очень сложно справляться. Глядя на нее, я поняла, что у меня будет максимум двое!)))",, Job, 15 май 2016
 Mish," Количество детей не всегда определят состояние ""войны"".",, Job, 25 янв 2018
Регина,"Девушки, кто по работе пользуется персональными системами видеоконференц связи. Какими пользуетесь? Устраивают ли? Кто нибудь знаком Polycom VVX5 ? Что можете сказать о ней?",,Job,22 авг 2016
 Lpochk, Мы используем для видеоконференций SIP-телефоны. Очень удобно и эффективно.,, Job, 10 ноя 2017
 Relmccoy," Да, SIP-телефоны рулят! Например, могу посоветовать модель, которая используется у нас в офисе - Escee DS622-PE. Это представительский гибридный телефон, поддерживающий работу по популярному протоколу SIP и имеющий разъем для прямого подключениягородской телефонной линии. Позволяет работать с восемью линиями одновременно (VoIP+PSTN), имеет возможность их независимой настройки и ручного выбора линии. Телефон оснащен большим графическим дисплеем с диагональю 4,3 дюйма и разрешением 48273 пикселя. На сайте digilgel.u можно подробнее его характеристики почитать и получить тестовый образец.",, Job, 10 ноя 2017
Moi,"1,5 года работаю на нынешнем месте работы, до этого 1 лет в одном местеработала. Наверно, боялась поменять, привыкла, да и вообще вроде,все нравилось, пока не стало слишком тошно.И сейчас обстановка складывается не лучшим образом. То ли сокращение идет, то ли самой лучше поискать.Вы меняли в этом году работу? Ситуация напряженная.Хотя, есть у меня знакомые, которые меняют каждые 2-3 мес. работу и ничего, полгода им отработать на одном месте-это подвиг.А мне нравится работать много лет,т.е. не люблю я бегать. Может, в этом моя и проблема ?(((",,Job,6 апр 2016
 Викочка," Я так же проработала на одном месте 4 года. Даже когда ситуация критическая я не уходила, результате филиал закрылся и мы остались без работы. 7 месяцев я не работала после чего сейчас вышла на работу. Считаю, что нужно не бояться и менять, так как насилие над собой еще никому не приносила пользу.",, Job, 6 апр 2016
 Ki777," Многие боятся что-то менять. Сила привычки - это большая сила, которая мешает нам что-то менять. Лучше искать работу не увольняясь. Разместить резюме и ждать звонков с предложениями. Иногда приходится долго ждать. Тем более, что сейчас кризис."," 1,5 года работаю на нынешнем месте работы, до этого 1 лет в одном местеработала. Наверно, боялась поменять, привыкла, да и вообще вроде,все нравилось, пока не стало слишком тошно.И сейчас обстановка складывается не лучшим образом. То ли сокращение идет, то ли самой лучше поискать.Вы меняли в этом году работу? Ситуация напряженная.Хотя, есть у меня знакомые, которые меняют каждые 2-3 мес. работу и ничего, полгода им отработать на одном месте-это подвиг.А мне нравится работать много лет,т.е. не люблю я бегать. Может, в этом моя и проблема ?(((", Job, 18 апр 2016
 Фиона," Я считаю, что если работа надоела или вы из нее выросли, то конечно стоит ее менять. Правда сейчас не лучшее время так как на дворе кризис. По этому лишний раз подумайте нужно ли это вам.",, Job, 2 май 2016
 Veoik_Iv," Я вот нашла для себя идеальный вариант: работаю на дому через интернет моделью в чате, денег получать стала гораздо больше, чем в офисе например, а работа гораздо проще и интересней.",, Job, 4 май 2016
 Ledi, А что значит работать моделью в чате? Первый раз о таком слышу. Это надо выкладывать свои фотки и за это получать деньги? А кто тогда фотографирует? Или я вообще все поняла не правильно?,, Job, 4 май 2016
 Veoik_Iv," Я имела в виду видеочат, в основном нужно общаться с людьми, заигрывать и флиртовать, если вы достаточно раскрепощенная можете станцевать красивый танец для посетителей, показать свое красивое тело и получить за это хорошие деньги.", А что значит работать моделью в чате? Первый раз о таком слышу. Это надо выкладывать свои фотки и за это получать деньги? А кто тогда фотографирует? Или я вообще все поняла не правильно?, Job, 9 май 2016
 Ley, и сколько таким образом можно зарабатывать?,, Job, 18 май 2016
 Дарина," А! я видела про такой вариант заработка в каком-то русском сериале. Не знаю сколько можно заработать таким образом, но не страшно ли наткнуться на клиента, который или ваш сосед или одноклассник?",, Job, 18 май 2016
 ТатьянаИгоревна," Мне тоже стало интересно сколько можно зарабатывать таким способом? Если, например, оценить заработок в один час? Или стоимость может быть разная в зависимости от того что показывать и о чем говорить?",, Job, 19 май 2016
 Иришка," Если тошно, то конечно меняйте работу, так как она вам уже удовольствия не доставит, а только будет раздражать и морально истощать. У меня у самой такое было и я ушла, так как даже деньги не останавливают.",, Job, 19 май 2016
 Dsh34," Ой, моделью в чате - это явно не по мне. Можно же в интернете и другие работы найти. Рерайтом заниматься или копирайтом, или на аскюзерсе респондентом работать, или на рефералке зарабатывать. А за такую модель меня муж по головке не погладит.",, Job, 23 май 2016
 блонда2, если решили уйти уходите и не спрашивайте совета .надо это быстро решать ),, Job, 23 май 2016
 Клетка," Если работа нравится,то не вижу смысла раньше времени её менять. Вас же ещё не сократили. Тем более, если собираетесь уходить в никуда, то вообще сядете без работы, неизвестно на какое время. Если есть риск сокращения, то начинайте потихоньку искать другое место, чтобы было куда отступать. Тем более если сократят, то вам пособие выплатят, а сами уволитесь - ничего не получите.",, Job, 23 май 2016
 Владимир Черников," Вообще знание языков ценится, поэтому при наличии таких навыков, можно рассчитывать на более высокую зп.",, Job, 12 окт 2017
svely,"Привет! У меня есть интернет-магазин. Клиенты имеются, приводят своих знакомых. В общем, бизнес развивается. С интернета тоже идут. Прочитала тутпро такое, SEO. Вроде маркетинг в интернете. Скажите, у кого есть магазины в интернете, вы этим пользуетесь? Если да, то что делаете?Изменено 26 окт 216 пользователем svely",,Job,26 окт 2016ttttttt(изменено)ttttttttttt
 m6k," Приветствую! По поводу SEO, это такой страшный зверь, с которым лучше не связываться :). А если серьезно, то сейчас, особо не напрягаясь, можете сами заняться «маркетингом в интернете» для своего сайта, информации уйма, только надо знать, где искать.",, Job, 26 окт 2016
 lidkol1," SEO - это поисковая оптимизация сайта. Проще говоря, это система мер для того, чтобы привлечь на ваш сайт посетителей из поисковых систем. Ее плюс в том, что вы не платите за каждого посетителя. Вы делаете свой сайт привлекательным для поисковых систем, а впоследствии уже только поддерживаете достигнутый уровень.Если вы совсем не разбираетесь в вопросе, то лучше всего и не вникать, а заказать услуги в какой то компании, которая занимается SEO продвижением.",, Job, 26 окт 2016
 Ley," у знакомого есть, у разных контор заказывает сео продвижение. Сейчас без этого никуда.",, Job, 12 ноя 2016
 Микра," У меня знакомый компьютерщик подобными делами промышляет, я ему выделяю в месяц пару тысяч для продвижения нашего с мужем магазина на форумах и подобных ресурсах, и не знаю связано с этим или нет, но со шмотками в этом году дела пошли лучше чем я ожидала, выделили в доме комнату, где складировали товар, но чувствую в будущем году, уже места не хватит, так что даже интересно, кто как выходит из-этой ситуации? Что гараж отдельно снимать или квартиру?",, Job, 30 ноя 2016
 Микра," Как вариант, в принципе сойдет, по идее не должно стоить больше чем квартира. Да и перспектива того, что хозяин будет туда наведываться меня не сильно радует, а бокс я так понимаю под персональным замком будет...",, Job, 1 дек 2016
 Augusi, мне кажется с онлайн магазином все равно не разбогатеешь особо) просто как доп. заработок),, Job, 2 дек 2016
 liushk," ну, его нужно постоянно поддерживать. индексировать сайт. то есть просмотры. в данном случае имеет значение привлечение клиентов через сайт. если грамотно все сделать, доход будет. не сразу миллионы, но будет",, Job, 3 дек 2016
 Augusi," доход да, но возможно даже не такой как вам надо.. смотря конечно, какая ниша) тут не поспорить)",, Job, 8 окт 2017
 Владимир Черников," Прежде чем открыть магазин, нужно понимать какой спрос на предлагаемый вами товар.",, Job, 12 окт 2017
Гость Катя,"Здравствуйте, девочки! Кому-нибудь приходилось иметь дело с накопительными системами, наподобие Инвестиционного фонда 21век, просто на работе постоянно про него коллеги говорят. Вроде кто-то даже и деньги приличные уже вытащил. Просто ка-то страшно, однако денег хочется. Какой вообще опыт, по крайней мере не мм та точно.",,Job,4 фев 2016
 Гость Виктория," Да, знаю этот фонд. Хорошее вложение денег как по мне. Мои свекры вложили туда 1 тысяч, теперь им проценты каждую неделю капают. Довольнющие ходят и хвастаются всем, своих соседей подтянули даже и им фонд за это дополнительные проценты выплатил. Вы если хотите подробно про них узнать, можете на сайте фонда посмотретьсколько будет вам выплата, там калькулятор есть вычислений. Если еще есть вопросы - спрашивайте, отвечу. Мы сами с мужем скоро вложим, нам надо, у нас ипотека"," Здравствуйте, девочки! Кому-нибудь приходилось иметь дело с накопительными системами, наподобие Инвестиционного фонда 21век, просто на работе постоянно про него коллеги говорят. Вроде кто-то даже и деньги приличные уже вытащил. Просто ка-то страшно, однако денег хочется. Какой вообще опыт, по крайней мере не мм та точно.", Job, 7 фев 2016
 Гость Михаил," Ага, и правда все работает, деньги исправно поступают на карту. Попробуйте. Особенно, когда с зарплатой не все стабильно, очень выручает"," Здравствуйте, девочки! Кому-нибудь приходилось иметь дело с накопительными системами, наподобие Инвестиционного фонда 21век, просто на работе постоянно про него коллеги говорят. Вроде кто-то даже и деньги приличные уже вытащил. Просто ка-то страшно, однако денег хочется. Какой вообще опыт, по крайней мере не мм та точно.", Job, 8 фев 2016
 Гость Катя," Спасибо! А как вступить в него, кто-нибудь знает? Вроде там коды какие-то надо?",, Job, 8 фев 2016
 womlks.u, я как администратор не рекомендовалабы вложения денег в такие сомнительные ресурсы!,, Job, 8 фев 2016
 Гость Виктория," Да, пригласительные коды. Их либо у знакомых берете, кто уже вступил, либо у управляющих, можно через сайт с ними связаться."," Спасибо! А как вступить в него, кто-нибудь знает? Вроде там коды какие-то надо?", Job, 8 фев 2016
 Мариша," Могу дать свой пригласительный код. У меня уже 9 человек в команде =) Как раз одного для красивой цифры не хватает))) Не знаю, можно тут ссылки вставлять или нет... +++++++++++++++Код 748429261213 Зайдите, посмотрите, понравится - вступите..В конце концов, за спрос денег не берут.", я как администратор не рекомендовалабы вложения денег в такие сомнительные ресурсы!, Job, 9 фев 2016
 Гость," Инвестиционные фонды аккумулируют средства граждан и вкладывают их в недвижимость, акции, технологии и т.п. Прежде чем вкладывать свои деньги стоит разобраться во что именно Вы их вкладываете. Я, например, предпочла бы в совместную недвижимость, но... обычно в таких фондах высокий порог входа для новых инвесторов и есть ограничения для выхода (например, по срокам снятия денежных средств), т.е. вложенные в них деньги моментально снять не получиться. Инвестиционные фонды, которые вкладывают деньги в акции более подвижны, но и более рискованны, если только не вкладывают деньги в ""голубые фишки"" (Газпром, Сбербанк и т.п.), но в последних доходность маленькая. Приблизительно можно посмотреть на сайтах управляющих компаний, вроде Тройка-Диалог, Альфа капитал, но...следует четко понимать, что существует целая наука управления собственными финансами и вкладываться в фонды надо, когда Вы уже прошли классические стадии их размещения, т.е. у Вас есть вклады в банке, желательно в нескольких валютах, Вы прикупили пару объектов недвижимости и после этого хотите рискнуть и выиграть на рынке, разместив деньги под больший процент (мероприятие это может и прогореть вобщем-то).В любом случае, советую тщательно ""до запятой"" читать документы и не подписывать их ""не глядя""",, Job, 10 фев 2016
 Гость Танечка," Девочки, так мой муж уже во всю оказывается деньги там крутит, и жизнь у нас стала налаживаться, так что рекомендую, набрать в яндексе ил гугле Инвестиционный фонд 21 век, у них кстате еще и группа в контакте есть!",, Job, 17 фев 2016
 Гость, Такой разводняк один человек пишет отзывы))),, Job, 7 июн 2016
 Гость Настя, Я даже на сайт не могу зайти РАЗВОД,, Job, 19 июн 2016
 Регина, А где их сайт? Я бы глянула.,, Job, 23 авг 2016
 Augusi, что за сайт то? куда инвестировать будем?),, Job, 8 окт 2017
Rebbekk,"Ищу эконом-вариант холодильной витрины для кондитерской. Буду благодарна за любую помощь! Решили с мужем открыть кондитерскую. В принципе ,помещение уже подыскали, сейчас покупаем холодильную витрину. Планируется выпечка тортов, пирожных и т.д. ",,Job,17 июн 2016
 Aleksd117," Покупайте громкие фирмы, в которых уверены и не ошибётесь. Всякие Bosch, Idesi, Smsug и так далее",, Job, 17 июн 2016
 Rebbekk, Посмотрела я на Coole-soe и возникла пара вопросов. Динамическое охлаждение от статического чем отличается? И какую все-таки лучше витрину брать: отечественную или зарубежную?,, Job, 20 июн 2016
 Серсея," Там же статья на сайте есть по выбору витрин. Там и написано, что статическое (гравитационное охлаждение) это когда испаритель у витрины располагается сверху, а холодный воздух спускается вних под действием силы тяжести. Динамический режим - это когда воздух гоняют вентилятором. Посмотрите МХМ НОВА ВХС 1.2 это Российская холодильная витрина. Нормальный бюджетный вариант. Можно конечно и зарубежный вариант взять, они по энергоэффективности наших делают. Но это дороже. Так что исходите из своего бюджета.",, Job, 20 июн 2016
 Rebbekk," Огромное спасибо! Муж звонил в ""Coole-soe"", эта витрина в наличии. Решили две штуки взять, сейчас заказ оформляем. Надо будет еще побольше информации почитать тогда, чтобы все ньюансы знать!",, Job, 20 июн 2016
 Серсея," Статический это когда испаритель сверху находится и холодный воздух сам опускается за счет конвекции. Диномический это когда его вентилятором или компрессором гоняет. Плюсы и минусы в интернете такие и такие варианты есть. Там витрин для много чего, сами посмотрите. ",, Job, 21 авг 2016
 Женя2591, Я покупаю отечественное,, Job, 4 сен 2017
Smilsy,"Учусь в университете, еще и подрабатываю вечером. Когда не подрабатывала, а только училась, то хватало времени с трудом на домашние задания, на выполнения различных работ, контрольных и т.д. А теперь так совсем напряженка со временем. Уже есть хвосты, предстоит курсовая, а еще несколько рефератов висит и контрольных. Не знаю как успеть. Подработку я тоже не могу бросить, т.к. нужно за что-то жить.Как вы справляетесь или справлялись со всеми этими трудностями? И что-то осталось в голове после окончания высшего учебного заведения?",,Job,10 ноя 2016
 Smilsy, все-таки интересно узнать ваши мнения,, Job, 12 ноя 2016
 Smilsy," А остается ли что-то в голове после этого? Мне кажется, сдать это одно дело, а выучить и запомнить на долгое время - другое.", Факт сдачи - вот что важно., Job, 14 ноя 2016
 le.," могу сказать что в принципе знания из универа вам особо в жизни не пригодятся, а как успевала - училась на выходных и часто совсем не высыпалась",, Job, 14 ноя 2016
 Роскошь," Я тоже в институте параллельно работала. По большей части ночами сидела учила и к экзаменам готовилась. Невысыпалась, жутко уставала. Но другого выхода и нет - часов в сутки не добавишь, чтобы всё успеть)",, Job, 15 ноя 2016
 Augusi, все правильно делаете) не ленитесь - тогда у вас все будет),, Job, 15 ноя 2016
 Ley," Пользовалась несколько раз помощью в написании курсовых работ, контрольных и т.д. Вот когдасамостоятельно написать не могла, сложно, да и времени не было. Пожалуй, вторая причина более основательная. Ну и заказывать работу надо не ну первых попавшихся специалистов, не у первого попавшего автора, а подходить к делу серьезно.Но работы не только писать надо, а еще и защищать. Это конечно, но чтоб разобраться и понять, потребуется гораздо меньше времени, чем написать с нуля.Бывает не просто опознать, хорошую работу Вам написали или абы что подсунули. Для этого отзывы надо чтоб были, знать как они пишут. Мне потом еще и исправления, доработки вносили. Работу я сдала без проблем. Да и скажу так: никому не важно писали вы самостоятельно или вам кто-то написал. Важно лишь то, как вы ее защитите и все. Как вы писали, или писали не вы, сколько времени и сил потратили, что это вам стоило - никого это волновать не будет. Факт сдачи - вот что важно.",, Job, 16 ноя 2016
 HTli," Сын поступил в университет на бюджетку, будем помогать, без этого никак.",, Job, 3 авг 2017
Без_Вредная,"Я жду двоих малышей. И у меня есть хорошая работа. Я задумалась, что делать, уходить в декрет или родить и нанять няню? Муж против няни, говорит, что я сама должна сидеть с детками, а я не хочу в декрет, сидеть дома и стирать пеленки не для меня.. И потом, это будет означать, что моя карьера накроется, так как ждать 3 года меня никто не будетЧто делать?",,Job,6 фев 2016
 Супер-кролик," Дети очень быстро растут и спустя много лет, вы можете очень сильно пожалеть о том, что лучшие моменты своих детей пропустили. Работа - вещь не благодарная... Я бы на вашем месте оставила ее и посвятила себя деткам",, Job, 6 фев 2016
 Лиана," Дети еще никому не мешали, было бы желание я так думаю. Многие женщины стоили бизнес когда были них маленькие детки. Важно просто распределять правильно время.",, Job, 19 май 2016
 Blly," Можно посидеть в декрете не 3 года, а 1,5, ну или год. Но сразу бросаться работать, а детей оставить на попечение чужого человека как-то неправильно. Первые месяцы жизни для ребёнка - это большой стресс, он только начинает узнавать жизнь, и ему особенно нужна мама рядом, как самый близкий и родной человек.А на работе вас никто уволить не может пока вы в декрете, это незаконно.",, Job, 28 май 2016
 Азалия, Решать только вам! а пока выносите спокойно и родите здоровых малышей.,, Job, 23 авг 2016
 l.milov," Что делать? Совмещайте. Няню можно брать не на постоянно, а на отдельные дни. А работать можно - на пол ставки. Тогда успеете и там и там. Дети - это счастье. Не упускайте возможность пообщаться с ними, пока они растут. Потом будете жалеть. Хотя и всю себя на детей фокусировать... если карьера для вас важно, пробуйте совмещать. И потом - в декрет не обязательно уходить на 3 года - можно 1 год провести только с малышами, пока они совсем маленькие. Потом восстановиться на работе. Если не на полный день - то и частично тоже вариант. И мужа легче будет на этот вариант уговорить. Тем более, что деткам лучше для здоровья материнское молоко, в первый годик, чем искусственное. Им нужна ваша любовь! Им нужна им любящая мамочка! Это такое счастье!"," Я жду двоих малышей. И у меня есть хорошая работа. Я задумалась, что делать, уходить в декрет или родить и нанять няню? Муж против няни, говорит, что я сама должна сидеть с детками, а я не хочу в декрет, сидеть дома и стирать пеленки не для меня.. И потом, это будет означать, что моя карьера накроется, так как ждать 3 года меня никто не будетЧто делать?", Job, 23 авг 2016
 Nio4k, Поздравляю вас! Счастливая мамочка))," Я жду двоих малышей. И у меня есть хорошая работа. Я задумалась, что делать, уходить в декрет или родить и нанять няню? Муж против няни, говорит, что я сама должна сидеть с детками, а я не хочу в декрет, сидеть дома и стирать пеленки не для меня.. И потом, это будет означать, что моя карьера накроется, так как ждать 3 года меня никто не будетЧто делать?", Job, 23 авг 2016
 Ялта," Я за детей, совмещать сложно, но когда выбор встаёт, я бы детей выбрала.",, Job, 24 авг 2016
 lele555666," Ой, ну не знаю как вы, но я вот выучила основы дизайна и рисую для этой вот компании макеты. Платят хорошо,фриланс все-таки) Даже подумываю бросить свою работу и заняться этим более маштабно)))!",, Job, 28 окт 2016
 Sevill," Ой, и я поздравляю! Конечно деток нужно выбирать, это же такое счастье!",, Job, 30 янв 2017
Дарина,"Что делать, если работа нравится и хорошо получается и все прогнозируют вам высокие достижения, а муж против и не хочет, чтобы вы работали, а хочет из вас сделать домохозяйку. Как тут быть?",,Job,22 мар 2016
 Зазноба," Наверное я бы проявила жесткость. Сказала бы, что я тоже хочу видеть тебя домохозяином. Сиди, вари супы и утирай сопли детям. Не в то время живем, когда подобная работа была только женским уделом.",, Job, 22 мар 2016
 Sофия," Я бы попробовала ещё раз убедить мужа в том, что мне это действительно необходимо, для самореализации. Любящий, поймёт))",, Job, 22 мар 2016
 pelsi66," Попросите приносить з/п в два раза больше чем у Вас сейчас. Поговорите откровенно. Это боязнь новизны, боязнь неведомого. боязнь своего будущего. Боится что Вы далеко пойдете, а он будет топтаться на месте. Ну а потом сами знаете что может быть.",, Job, 22 мар 2016
 Миленькая)," Так мужчина часто начинает упирать на то, что это ты не любишь семью и детей, раз идешь работать. Типа твоя работа - это заботится обо мне и малышах. И не переубедить!"," Я бы попробовала ещё раз убедить мужа в том, что мне это действительно необходимо, для самореализации. Любящий, поймёт))", Job, 25 мар 2016
 Зазноба," А мне кажется, что это не боязнь новизны, а чувство собственничества. Чтобы жена была при нем как собачка. А потом мужчинам еще нравится контроль, когда в случае ссоры можно запросто сказать ""куда ты денешься""."," Попросите приносить з/п в два раза больше чем у Вас сейчас. Поговорите откровенно. Это боязнь новизны, боязнь неведомого. боязнь своего будущего. Боится что Вы далеко пойдете, а он будет топтаться на месте. Ну а потом сами знаете что может быть.", Job, 31 мар 2016
 Фиона, Я негативно отношусь к ем мужчинам которые в принципе что либо запрещают по этому нужно уметь отстаивать свои права. Тем более какие могут быть вопросы когда он с вам познакомился вы наверное тоже не дома сидели.,, Job, 2 апр 2016
 Deez," поменять мужа. Мой был против, но потом понял насколько это для меня важно, стал ценить еще больше.",, Job, 2 апр 2016
