users,text,quote,topic,times
Augusi,"класс) интересен ваш опыт) но опять же, я считаю если рисовать не умеешь, то нечего делать в этой сфере",,Job,14 авг 2018
 Adelid," Ну как вам сказать, да это будет полезным, но если вы в состоянии себе нарисовать брови красиво, то в принципе можно уже идти в перманентный макияж. На курсах руку поставят, тут с этим проблем нет. Но если уж совсем никак у вас с перманентным макияжем, то на курсах вам об этом скажут. Но тут вариант что такое произойдет один на тысячу.",, Job, 9 сен 2018
 Bysichk," Мне в этой школе нравится еще и то что там не только базовые курсы есть. Если вы уже опытный мастер и хотите какую-то конкретную технику изучить. Вы индивидуально с преподавателем оттачиваете конкретную понравившуюся вам технику. Сейчас как раз безконтурное заполнение губ изучила, планирую еще на дермопигментацию сходить.",, Job, 12 окт 2018
 лора25," Искала курсы визажа в Москве, что бы устроится на работу куча предложений, но подруга посоветовала ""Долорес"". Пошла на курсы и была в восторге практика, теория, профессионалы мастера. Курсы Факультета декоративной косметики «Академии Долорес» - это индивидуальный и творческий подход, профессиональное мастерство, последние тенденции и креативные направления в моде на макияж. Пришла полный ноль, сейчас чувствую свой потенциал.",, Job, 22 ноя 2018
 рафа," Как там вообще обучение проходит, мне ее очень хвалили знакомые, но хотелось бы еще прочитать немного отзывов о ней. Дело в том, что в Москве я недавно, приехала на курсы повышения квалификации, хочу к хорошему мастеру пойти, Только вот интересно у нее есть ли курсы отдельные, по какой-либо тематике, а то видите ли, я базу уже всю прошла, интересуют меня сейчас только некоторые виды татуажа, было бы круто не тратить время на то, что уже знаю. А если у вас еще есть рекомендации, то пишите, мне сейчас это очень помогло бы.",, Job, 27 дек 2018
 Чунга," Курсы есть как для новчиков, так и для практикующих мастеров, вроде повышения квалификации. Базовые курсы подразделяются на интенсив, расширенные и на экспрес. Выбор курсов будет зависеть от того, на каком уровне вообще вы сейчас находитесь) Еще есть отдельно курсы ""Маэстро бровей"", ну это прям для тех кто целенаправленно хочет только с бровями работать. А что я вам буду долго рассказывать вы лучше на igb точка u зайдите, зайдите в раздел обучения, там вся необходимая информация есть.Изменено 2 янв 219 пользователем Сергей Владимировичссылки запрещены",, Job, 2 янв 2019ttttttt(изменено)ttttttttttt
 Augusi," а мне кажется, перманентный макияж скоро совсем не в моде будет",, Job, 3 янв 2019
 Непогодка," Так ведь придумывают новые техники, волосковая и обычное напыление например очень естественно смотрится. Не знаю, я вот уже записалась , на базовые расширенные курсы, хоть вам и не интересно) Но других мастеров расспрашивала, все говорят, что дело стоящее, прибыльное.",, Job, 12 янв 2019
 Aleys, С таким ещё не сталкивалась,, Job, 19 янв 2019
 малышка," Можете подсказать? вот я только собираюсь учиться, у меня теории даже нет. как насчет теории на курсах там есть курсы для новичков ?"," Если говорить про Курсы у Инги Бабицкой, то в плане практических навыков очень много вам дадут, так как каждую технику вы успеете отработать на одной - двух моделях, а это очень сильное подспорье в обучении. Поверьте мне как практикующему мастеру", Job, 20 янв 2019
 Чунга," Самое лучшее для новичка- это конечно же базовые расширенные курсы, там и по теории погоняют и по практике, кстати практика проводится на живых моделях под руководством обучающего мастера. Думаю, вот это неплохой вариант для начинающих)",, Job, 24 фев 2019
 рафа," А вы сами то какие курсы заканчивалии? Ходите после окончания на мастер-классы? Или забросили? Кстати, вы на групповых занятиях были или на индивидуальных?",, Job, 26 фев 2019
 Чунга," Я изначально заканчивала курсы в другом месте, но там мне знаний недодали и я заново прошла базовый интенсивный курс . Там я много-чему научилась, даже не ожидала, если честно, что за такой короткий срок можно такому объему обучиться. Сейчас сама работаю в небольшом салоне, набрала свою клиентуру, на жизнь хвататет) Параллельно еще на мастер-классы раз в три месяца хожу",, Job, 17 мар 2019
 рафа," А дорого ли вам обошлись эти курсы интенсивные базовые? Чем интенсивные отличаются от расширенного курса, какая разница в цене будет? А вообще как новичку долго вообще обучаться, набирать клиентуру, набивать руку? Сколько у вас например это времени заняло? В какой момент уже начали в плюс выходить?",, Job, 30 апр 2019
 Чунга," Интенсивные курсы обошлись мне за 3 тыс. Не так дорого, учитывая, что все материалы предоставляются студией для обучения и качество обучения очень хорошее. Подробно объясняют, не торопят, если что вдруг. Все обучение проходило на расслабоне без нервов. И усвоила тоже все темы хорошо, благодаря такой легкой подачи информации"," А дорого ли вам обошлись эти курсы интенсивные базовые? Чем интенсивные отличаются от расширенного курса, какая разница в цене будет? А вообще как новичку долго вообще обучаться, набирать клиентуру, набивать руку? Сколько у вас например это времени заняло? В какой момент уже начали в плюс выходить?", Job, 9 июн 2019
