users,topic,times,quote,text
Сергеева Женя,Books&Literature, 7 марта 2012 г. 18:41   [нажмите здесь чтобы увидеть текст поста],,"Помогите вспомнить автора!Знакомая бабушка давно читала книгу.. Около 30-ти лет назад, хочет перечитать её, но не помнит ни автора, ни название книги...Там девушка тихоня работала на заводе. У неё был тихий, но красивый мелодичный голос. И в ноты она попадала. У них на заводе была подготовка к небольшому конкурсу. И парень искал девушку которая умеет петь. Но в книге была ещё и отрицательная героиня. Она любила этого парня. У неё не было ни голоса, ни слуха. Она всё брала силой и громкостью. Наступает момент когда тихоня и парень встречаются, начинают общаться и влюбляются друг в друга, но соперница начинает соблазнять этого парня и присваивает его себе. Вот дело доходит до концерта. И мымра без слуха и голоса готовится к выступлению, а тихоня работает себе в уголочке. Но парень нашёл её, и они вместе пошли выступать. После чего начали встречаться и поженились. Жили долго и счастливо. Очень буду благодарна! Но это всего лишь отрывок из книги."
Пимыч,Books&Literature, 8 марта 2012 г. 15:09   [нажмите здесь чтобы увидеть текст поста],"Кто-нибудь помнит такой рассказ, классика, вроде бы это Чехов, но я не уверена.В общем, там один один человек рассказывает историю, свидетелем которой он был. Его попутчик в поезде- молодой парень ехал на встречу с девушкой, и так они эту встречу хотели, столько было эмоций, на каждой станции парень посылал девушке телеграмму, а она ему...В общем, только он приехал — случилась беда- парень свалился под поезд и погиб.Может, кто-то помнит название?","цитата Ольга_ПитерКто-нибудь помнит такой рассказ, классика, вроде бы это Чехов, но я не уверена.В общем, там один один человек рассказывает историю, свидетелем которой он был. Его попутчик в поезде- молодой парень ехал на встречу с девушкой, и так они эту встречу хотели, столько было эмоций, на каждой станции парень посылал девушке телеграмму, а она ему...В общем, только он приехал — случилась беда- парень свалился под поезд и погиб.Может, кто-то помнит название?Года полтора назад пришлось по работе месяц пробыть в одной дыре. Пахали почти по Тарантино — с рассвета до заката, из развлечений — только самогон, правда, неплохой. От тоски по печатному слову совсем озверел, наконец нашел у одного аборигена томик Куприна. Терпеть не могу классику, но прочитал. Так вот, этот рассказ там точно был. Название не запомнил, но обложку помню. Сейчас пошарил и нашел, но не помню — первый том был, или второй?http://t3.gstatic.com/images?q=tbn:ANd9Gc..."
LeonidM,Books&Literature, 12 апреля 2012 г. 11:31   [нажмите здесь чтобы увидеть текст поста],Вроде журналист поневоле стал посредником и передает выкупы. Там был в одном из романов ураденый щит из музея,"цитата 3DeMONВроде журналист поневоле стал посредником и передает выкупы. Там был в одном из романов ураденый щит из музеяРосс Томас ""Щит Компорена"" ?"
SAG,Books&Literature, 12 апреля 2012 г. 11:47   [нажмите здесь чтобы увидеть текст поста],"Третья история, кажется, про профессора, который открыл неизведанный остров, не выходя из кабинета. Чисто мыслительным путем и всякими расчетами.","цитата saga23Третья история, кажется, про профессора, который открыл неизведанный остров, не выходя из кабинета. Чисто мыслительным путем и всякими расчетами. По моему это сделал О.Ю.Шмидт. Потом экспедициями доказали нахождение острова в Северном океане."
Элейн,Books&Literature, 14 апреля 2012 г. 17:48   [нажмите здесь чтобы увидеть текст поста],,"Подскажите пожалуйста название рассказа.Помню, что что Ильфа и Петрова и помню, что сюжет такой: журналисты попадают в обычное советское учереждение, но думают, что они в психбольнице."
vla-bessonov,Books&Literature, 14 апреля 2012 г. 19:54   [нажмите здесь чтобы увидеть текст поста],,Элейн На волосок от смерти.
Элейн,Books&Literature, 14 апреля 2012 г. 19:58   [нажмите здесь чтобы увидеть текст поста],,Спасибо!
Сергеева Женя,Books&Literature, 16 апреля 2012 г. 18:50   [нажмите здесь чтобы увидеть текст поста],,"Здравствуйте! Подскажите, пожалуйста, название советской художественной книги о русском генерале в англо-бурской войне. В конце книги его убивают в перестрелке царские жандармы как распространителя ""Искры""."
ЕНК,Books&Literature, 8 мая 2012 г. 23:27   [нажмите здесь чтобы увидеть текст поста],,"Пимыч  Да, спасибо огромное!"
tsvoff,Books&Literature, 15 мая 2012 г. 23:35   [нажмите здесь чтобы увидеть текст поста],,"А не подскажет ли кто автора и название юморески, которую читали, кажется, в ""Вокруг смеха"". Сюжет в том, что режиссера донимает обыватель, считающий себя знатоком кинопроцесса — мол, в кино все фальшивое, одни спецэффекты да бутафория. Кончается тем, что во время съемок сцены пожара (или сожжения на костре) обыватель сначала трогает пламя, считая его ""спецэффектом"": ""Ух ты, жжется! Комбинированный, а жжется"", а потом смело шагает в огонь.Рефреном в юмореске звучит: ""Но мы-то с вами понимаем!"""
